County,State,CountyFIPS,Percentage,Year
Tuscarawas County,Ohio,39157,9,2021
Union County,Ohio,39159,8.6,2021
Van Wert County,Ohio,39161,9.8,2021
Vinton County,Ohio,39163,12.5,2021
Warren County,Ohio,39165,8,2021
Washington County,Ohio,39167,10.3,2021
Wayne County,Ohio,39169,8.7,2021
Williams County,Ohio,39171,8.7,2021
Wood County,Ohio,39173,10.2,2021
Wyandot County,Ohio,39175,7.7,2021
